Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;8;8;8;201.185.102.235
2;8;10;10;10.20.30.113
3;10;10;10;216.244.89.0
4;8;10;10;216.244.88.176
5;8;8;9;216.244.88.169
6;8;9;10;206.81.80.181
7;9;9;10;157.240.105.116
8;7;7;8;173.252.66.179
9;9;12;12;129.134.112.89
10;8;8;9;157.240.3.174
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
